hsmpSn,공급유형,원본행수,세대수_고유값수,세대수_고유값,대표세대수,세대수일관성,주소
30704763,매입임대,2,1,9,9,일치,전남광주통합특별시 서구 화정로276번길 10
30704764,매입임대,2,1,6,6,일치,전남광주통합특별시 서구 화정로280번길 7
30704765,매입임대,4,1,9,9,일치,전남광주통합특별시 서구 군분로221번길 4
30704766,매입임대,2,1,8,8,일치,전남광주통합특별시 서구 군분로222번길 4-1
30704767,매입임대,3,1,12,12,일치,전남광주통합특별시 서구 금호만호길 90
30704768,매입임대,3,1,9,9,일치,전남광주통합특별시 서구 금화로481번길 8
30704769,매입임대,3,1,12,12,일치,전남광주통합특별시 서구 금화로482번길 15
30704770,매입임대,3,1,6,6,일치,전남광주통합특별시 서구 금화로482번길 15-1
30704771,매입임대,4,1,9,9,일치,전남광주통합특별시 서구 금화로73번길 14
30704772,매입임대,4,1,15,15,일치,전남광주통합특별시 서구 내방로350번길 3-6
30704773,매입임대,3,1,12,12,일치,전남광주통합특별시 서구 내방로404번길 25
30704774,매입임대,2,1,9,9,일치,전남광주통합특별시 서구 내방마을2길 6-14
30704775,매입임대,2,1,12,12,일치,전남광주통합특별시 서구 내방마을2길 6-16
30704776,매입임대,4,1,12,12,일치,전남광주통합특별시 서구 대남대로450번길 10-10
30704777,매입임대,4,1,12,12,일치,전남광주통합특별시 서구 대남대로450번길 10-12
30704778,매입임대,3,1,9,9,일치,전남광주통합특별시 서구 대남대로461번길 3
30704779,매입임대,3,1,12,12,일치,전남광주통합특별시 서구 대남대로462번길 2
30704780,매입임대,2,1,12,12,일치,전남광주통합특별시 서구 상무대로1005번길 11-33
30704781,매입임대,1,1,12,12,일치,전남광주통합특별시 서구 상무대로1005번길 17-19
30704782,매입임대,5,1,18,18,일치,전남광주통합특별시 서구 상무대로1005번길 39-5
30704783,매입임대,3,1,12,12,일치,전남광주통합특별시 서구 상무대로1171번길 4
